1,What are the disadvantages of first-past-the-post electoral systems?,NEGATIVE,"We all know the situation could arise in the U.S. where one candidate wins the popular vote but another one the electoral college. Given that the same could arise in the United Kingdom and other countries with a first-past-the-post or \"winner takes it all\" electoral system, what are the genuine disadvantages of first-past-the-post electoral systems? Besides the given examples?"
2,Why can't voting be fair if there are more than two alternatives?,NEGATIVE,"I've heard that mathematically it can be shown that given any voting system with more than two choices, voters can cheat the system by not voting their true opinions in order to game the system and help their first choice. Why is this the case and what would be an example of its application. How can democracies take this into account? Is it a real threat to fair elections or just a theoretical one?"
4,"",NEGATIVE,"First-past-the-post voting tends to result in a smaller number of viable candidates. In the traditional two-party system of Anglosphere politics, every candidate except those from the top two parties is effectively a spoiler; they weaken the position of whichever major party candidate is more ideologically similar to them, giving the other major party candidate an advantage. As a result, it is in people's interest to vote for a major party candidate even if they are more aligned with another candidate. This lessens voters' ability to support their preferred policies through voting. A great explanation of this is here."
5,"",VERY_NEGATIVE,"Simple plurality voting has very little in its favor in any election with more than two candidates, but the top disadvantage is vote splitting. FPTP only allows voters to vote for a single person, and since the vote can't be transferred, if that person doesn't win that means the voter might as well have not voted at all. Imagine a situation like the following: Person A is liked by 60% of the electorate Person B is liked by the same 60% of the electorate Person C is liked by the remaining 40% of the electorate Assume that the 60% don't like C, and the 40% don't like A and B (it doesn't really matter either way, since FPTP doesn't care who you like after #1). It's unclear if A or B should win, but clearly C shouldn't -- a majority of people don't like him. However, if half the 60% vote for person A and the other half vote for person B, the results are: Person A gets 30% of the vote Person B gets 30% of the vote Person C gets 40% of the vote and wins Because person A and person B were so similar, they split the vote and neither got enough to win; they would've been better served if one of them had dropped out. Very similar to (but probably more ridiculous than) vote splitting is the spoiler effect. This happens when a similar minor candidate gets very little of the vote, but it's enough to tip the election the other way. For example: Person A gets 47% of the vote Person B gets 4% of the vote entirely from voters who would've voted for person A Person C gets 49% of the vote Person C wins by 2 points, but it's person B's fault -- if he hadn't run, person A would've won. Worst of all, everyone who voted for person B is kicking themselves because the person they liked least is now the winner. One of the desirable qualities of a voting system (according to Kenneth Arrow) is independence of irrelevant alternatives -- the introduction of a new candidate shouldn't change the winner unless it's to that candidate. Plurality voting is particularly bad at this. The result of all this is that FPTP bodies tend towards dual party systems after a while; the similar candidates fight it out in primaries so that in the real election, there's only two major choices and the effect of vote splitting is minimized. Nonetheless, spoilers can still cause problems. FPTP doesn't gather sufficient information to be certain when spoilers have changed a result, but in Gaming the Vote Poundstone estimates that at least five U.S. presidential elections have been decided by spoilers"
6,What are the advantages/disadvantages of a mandatory voting system?,NEGATIVE,"Living in a country where mandatory voting exists and experiencing the results in another without mandatory, I'm wondering: What are the advantages and disadvantages of mandatory voting?"
7,"What is meant by the \"left\" and the \"right\"?",NEUTRAL,"When discussing political issues and parties, I often hear mention of a party being \"left\", \"centre-left\", \"right\" or \"extreme right\". In broad terms, what do these designations mean?"
9,How do instant runoffs work?,NEUTRAL,I've read that some elections have instant runoffs. What are they and how do they work? How do they differ from a standard majority vote election?
12,How does direct democracy compare to representative democracy?,NEGATIVE,"Back in the olden days of Greece, direct democracy was practiced. All citizens could vote directly on every issue decided by the state. This is significantly different to the representative democracy practiced in almost all democratic countries today, whereby the people elect a much smaller group of representatives to vote on issues that the state will decide. How does direct democracy compare to representative democracy?"
13,"",NEGATIVE,"The standard terms of left and right politics originate from the seating arrangement of the French National Assembly of 1789. They are often considered overly simplistic for today's complex political landscape. In the 1789 at the French National Assembly the First Estate (noblemen) sat on the right side and the Third Estate (revolutionaries) sat on the left side. Thus, the left wing of the room was more liberal, and the right wing was more conservative. Today you often use the terms left or extreme-left to describe social and progressive measures and right or even extreme-right the more conservative and nationalistic approaches. Those terms as I stated in the first paragraph however are too simplistic for a modern world where libertarians are often very progressive (left) on social issues such as gay marriage but are fiscally very conservative (right)."
15,Why is the French democracy not using proportional representation for election of the assembly?,NEGATIVE,"Proportional representation was used during the French Fourth Republic, while other kinds of voting systems were preferred during the French Third Republic and the French Fifth Republic (with an exception between 1986 and 1987). Some political parties argue proportional representation is the only truly democratic voting system. Why is the French democracy not using proportional representation for election of the assembly?"
16,What are the consequences of recalling ambassadors?,NEGATIVE,Two days ago there were rumors Britain and France may recall their ambassadors from Israel. Why is that a political action? Wouldn’t that rather harm the citizens of these countries in Israel?
